party,Locality_name,Locality_symbol,Can_vote,voters,Proper_votes,number_of_votes,hebrew_party_name,english_party_name,year
ד,חשמונאים,3770,NA,1119,1113,0,"בל""ד",balad,2006
ד,אחוזת ברק,1330,NA,510,504,0,"בל""ד",balad,2006
ד,להבות הבשן,380,NA,271,265,0,"בל""ד",balad,2006
ד,משמר הירדן,732,NA,215,213,0,"בל""ד",balad,2006
ד,חצב,700,NA,411,407,1,"בל""ד",balad,2006
ד,פארן,1151,NA,215,214,0,"בל""ד",balad,2006
ד,יטבתה,866,NA,337,336,0,"בל""ד",balad,2006
ד,עזריאל,837,NA,282,275,0,"בל""ד",balad,2006
ד,גונן,852,NA,186,184,0,"בל""ד",balad,2006
ד,טל-אל,1181,NA,442,440,0,"בל""ד",balad,2006
ד,אילות,1126,NA,157,155,0,"בל""ד",balad,2006
ד,עדנים,2035,NA,216,213,0,"בל""ד",balad,2006
ד,עין העמק,367,NA,267,267,0,"בל""ד",balad,2006
ד,טבריה,6700,NA,15331,15101,4,"בל""ד",balad,2006
ד,אחיהוד,785,NA,312,309,0,"בל""ד",balad,2006
ד,להבות חביבה,715,NA,169,169,0,"בל""ד",balad,2006
ד,משמר הנגב,395,NA,405,399,0,"בל""ד",balad,2006
ד,חצבה,13,NA,300,298,0,"בל""ד",balad,2006
ד,פדואל,3768,NA,424,424,0,"בל""ד",balad,2006
ד,"ייט""ב",3607,NA,80,79,0,"בל""ד",balad,2006
ד,עזריה,711,NA,319,314,0,"בל""ד",balad,2006
ד,גורן,755,NA,242,238,0,"בל""ד",balad,2006
ד,טל שחר,462,NA,410,408,1,"בל""ד",balad,2006
ד,אילנייה,49,NA,232,231,0,"בל""ד",balad,2006
ד,עוזה,826,NA,239,237,0,"בל""ד",balad,2006
ד,עין השופט,270,NA,475,474,0,"בל""ד",balad,2006
ד,טובא-זנגרייה,962,NA,1029,980,206,"בל""ד",balad,2006
ד,אחיטוב,850,NA,337,335,0,"בל""ד",balad,2006
ד,להבים,1271,NA,2831,2817,1,"בל""ד",balad,2006
ד,משמר העמק,130,NA,585,585,0,"בל""ד",balad,2006
ד,חצור-אשדוד,406,NA,415,414,0,"בל""ד",balad,2006
ד,פדויים,750,NA,161,159,0,"בל""ד",balad,2006
ד,יכיני,811,NA,231,230,0,"בל""ד",balad,2006
ד,עזריקם,817,NA,427,423,0,"בל""ד",balad,2006
ד,גורנות הגליל,1219,NA,94,94,0,"בל""ד",balad,2006
ד,טללים,1177,NA,66,65,0,"בל""ד",balad,2006
ד,אילת,2600,NA,16260,15982,11,"בל""ד",balad,2006
ד,עוזייר,528,NA,556,539,217,"בל""ד",balad,2006
ד,עין השלושה,676,NA,181,180,0,"בל""ד",balad,2006
ד,טורעאן,498,NA,3592,3513,1019,"בל""ד",balad,2006
ד,אחיסמך,804,NA,361,360,0,"בל""ד",balad,2006
ד,לוד,7000,NA,26457,25760,959,"בל""ד",balad,2006
ד,משמר השבעה,729,NA,392,389,0,"בל""ד",balad,2006
ד,חצור הגלילית,2034,NA,3855,3794,1,"בל""ד",balad,2006
ד,פדיה,838,NA,237,235,0,"בל""ד",balad,2006
ד,ינוב,753,NA,358,356,0,"בל""ד",balad,2006
ד,עטאוונה (שבט),969,NA,72,70,1,"בל""ד",balad,2006
ד,גזית,457,NA,422,420,0,"בל""ד",balad,2006
ד,טלמון,3788,NA,642,638,0,"בל""ד",balad,2006
ד,איתמר,3762,NA,227,226,0,"בל""ד",balad,2006
ד,עולש,737,NA,415,409,0,"בל""ד",balad,2006
ד,עין ורד,157,NA,566,565,0,"בל""ד",balad,2006
ד,טייבה,2730,NA,12021,11824,1864,"בל""ד",balad,2006
ד,אחיעזר,797,NA,596,587,0,"בל""ד",balad,2006
ד,לוזית,52,NA,149,149,1,"בל""ד",balad,2006
ד,משמר השרון,194,NA,291,291,0,"בל""ד",balad,2006
ד,חצרים,397,NA,524,520,0,"בל""ד",balad,2006
ד,פוריידיס,537,NA,1711,1677,265,"בל""ד",balad,2006
ד,ינון,2011,NA,373,368,0,"בל""ד",balad,2006
ד,עטרת,3658,NA,170,170,0,"בל""ד",balad,2006
ד,גזר,370,NA,142,141,0,"בל""ד",balad,2006
ד,טמרה,8900,NA,9385,9262,2477,"בל""ד",balad,2006
ד,איתן,37,NA,178,177,0,"בל""ד",balad,2006
ד,עומר,666,NA,3934,3899,6,"בל""ד",balad,2006
ד,עין זיוון,4503,NA,118,117,0,"בל""ד",balad,2006
ד,טייבה (בעמק),497,NA,586,582,103,"בל""ד",balad,2006
ד,אטרש (שבט),965,NA,213,206,0,"בל""ד",balad,2006
ד,לוחמי הגיטאות,595,NA,307,306,0,"בל""ד",balad,2006
ד,משמרות,213,NA,151,149,0,"בל""ד",balad,2006
ד,חרב לאת,422,NA,283,281,0,"בל""ד",balad,2006
ד,פורייה - כפר עבודה,1104,NA,122,122,0,"בל""ד",balad,2006
ד,יסוד המעלה,29,NA,646,642,0,"בל""ד",balad,2006
ד,עידן,1175,NA,104,104,1,"בל""ד",balad,2006
ד,גיאה,706,NA,308,308,0,"בל""ד",balad,2006
ד,טמרה (יזרעאל),547,NA,323,316,68,"בל""ד",balad,2006
ד,אכסאל,478,NA,2376,2281,322,"בל""ד",balad,2006
ד,עופר,810,NA,190,188,0,"בל""ד",balad,2006
ד,עין חרוד (איחוד),89,NA,381,378,0,"בל""ד",balad,2006
ד,טירה,2720,NA,7235,7117,1350,"בל""ד",balad,2006
ד,איבים,338,NA,69,66,0,"בל""ד",balad,2006
ד,לוטם,1171,NA,166,165,0,"בל""ד",balad,2006
ד,משמרת,425,NA,362,354,0,"בל""ד",balad,2006
ד,חרוצים,1024,NA,326,322,0,"בל""ד",balad,2006
ד,פורייה - נווה עובד,1105,NA,393,388,0,"בל""ד",balad,2006
ד,יסודות,440,NA,204,202,0,"בל""ד",balad,2006
ד,עיילבון,530,NA,2344,2310,622,"בל""ד",balad,2006
ד,גיבתון,196,NA,165,165,0,"בל""ד",balad,2006
ד,טנא,3743,NA,218,215,1,"בל""ד",balad,2006
ד,אל -רום,4003,NA,158,156,0,"בל""ד",balad,2006
ד,עוצם,32,NA,258,252,0,"בל""ד",balad,2006
ד,עין חרוד (מאוחד),82,NA,442,441,0,"בל""ד",balad,2006
ד,טירת יהודה,663,NA,382,381,0,"בל""ד",balad,2006
ד,אייל,716,NA,243,240,0,"בל""ד",balad,2006
ד,לוטן,1255,NA,81,81,0,"בל""ד",balad,2006
ד,כוכב יאיר,1224,NA,5463,5432,0,"בל""ד",balad,2006
ד,חרמש,3717,NA,74,71,0,"בל""ד",balad,2006
ד,פורייה עילית,1313,NA,264,259,0,"בל""ד",balad,2006
ד,יסעור,575,NA,181,180,0,"בל""ד",balad,2006
ד,עיינות,156,NA,33,32,0,"בל""ד",balad,2006
ד,גיזו,1043,NA,73,73,0,"בל""ד",balad,2006
ד,טפחות,1214,NA,119,118,0,"בל""ד",balad,2006
ד,אלומה,1145,NA,144,142,0,"בל""ד",balad,2006
ד,עוקבי (בנו עוקבה) (שבט),957,NA,110,107,4,"בל""ד",balad,2006
ד,חד-נס,4026,NA,178,177,0,"בל""ד",balad,2006
ד,גן שורק,311,NA,152,151,0,"בל""ד",balad,2006
ד,פקיעין חדשה,281,NA,140,140,0,"בל""ד",balad,2006
ד,יקיר,3647,NA,487,485,0,"בל""ד",balad,2006
ד,עין המפרץ,289,NA,471,469,0,"בל""ד",balad,2006
ד,גליל ים,346,NA,209,209,0,"בל""ד",balad,2006
ד,פורת,767,NA,328,322,0,"בל""ד",balad,2006
ד,יעד,1138,NA,291,291,0,"בל""ד",balad,2006
ד,עילוט,511,NA,1722,1658,564,"בל""ד",balad,2006
ד,גילון,1204,NA,435,431,0,"בל""ד",balad,2006
ד,געתון,463,NA,267,266,0,"בל""ד",balad,2006
ד,אלומות,330,NA,134,132,0,"בל""ד",balad,2006
ד,ישע,916,NA,129,128,0,"בל""ד",balad,2006
ד,חדיד,618,NA,259,256,0,"בל""ד",balad,2006
ד,גן שלמה,144,NA,271,270,0,"בל""ד",balad,2006
ד,פרדס חנה-כרכור,7800,NA,12626,12447,7,"בל""ד",balad,2006
ד,יקנעם (מושבה),241,NA,623,623,0,"בל""ד",balad,2006
ד,ח'ואלד,1321,NA,120,109,3,"בל""ד",balad,2006
ד,גלעד (אבן יצחק),369,NA,243,240,0,"בל""ד",balad,2006
ד,פטיש,749,NA,328,327,0,"בל""ד",balad,2006
ד,יערה,795,NA,259,258,0,"בל""ד",balad,2006
ד,עין איילה,687,NA,347,345,0,"בל""ד",balad,2006
ד,גילת,736,NA,408,404,0,"בל""ד",balad,2006
ד,גפן,39,NA,143,141,0,"בל""ד",balad,2006
ד,אלון הגליל,1182,NA,390,389,0,"בל""ד",balad,2006
ד,ישעי,805,NA,307,302,0,"בל""ד",balad,2006
ד,חדרה,6500,NA,32385,31811,23,"בל""ד",balad,2006
ד,גן שמואל,72,NA,613,611,1,"בל""ד",balad,2006
ד,פרדסייה,171,NA,2920,2899,0,"בל""ד",balad,2006
ד,יקנעם עילית,240,NA,8275,8121,3,"בל""ד",balad,2006
ד,ח'ואלד (שבט),986,NA,55,54,1,"בל""ד",balad,2006
ד,גמזו,745,NA,425,425,0,"בל""ד",balad,2006
ד,פלמחים,597,NA,316,316,0,"בל""ד",balad,2006
ד,יפיע,499,NA,3998,3890,861,"בל""ד",balad,2006
ד,עין אל-אסד,546,NA,308,303,19,"בל""ד",balad,2006
ד,גינוסר,262,NA,316,311,0,"בל""ד",balad,2006
ד,גרופית,1129,NA,155,154,0,"בל""ד",balad,2006
ד,אלון מורה,3579,NA,568,565,1,"בל""ד",balad,2006
ד,ישרש,828,NA,331,330,0,"בל""ד",balad,2006
ד,חולדה,160,NA,193,192,0,"בל""ד",balad,2006
ד,גנות,836,NA,227,226,0,"בל""ד",balad,2006
ד,פרוד,599,NA,160,157,0,"בל""ד",balad,2006
ד,יראון,623,NA,225,223,0,"בל""ד",balad,2006
ד,חבצלת השרון,235,NA,247,245,0,"בל""ד",balad,2006
ד,גן הדרום,1072,NA,207,205,0,"בל""ד",balad,2006
ד,פני חבר,3723,NA,101,101,0,"בל""ד",balad,2006
ד,יפית,3566,NA,45,44,1,"בל""ד",balad,2006
ד,עין גב,273,NA,319,312,0,"בל""ד",balad,2006
ד,גיניגר,92,NA,266,264,0,"בל""ד",balad,2006
ד,גשור,4022,NA,109,106,0,"בל""ד",balad,2006
ד,אלון שבות,3604,NA,1513,1504,0,"בל""ד",balad,2006
ד,יתד,1227,NA,164,164,0,"בל""ד",balad,2006
ד,חולון,6600,NA,83250,81857,22,"בל""ד",balad,2006
ד,גנות הדר,549,NA,297,293,0,"בל""ד",balad,2006
ד,פרזון,2053,NA,188,187,0,"בל""ד",balad,2006
ד,ירדנה,2026,NA,180,180,0,"בל""ד",balad,2006
ד,חבר,1110,NA,94,93,0,"בל""ד",balad,2006
ד,גן השומרון,225,NA,351,348,0,"בל""ד",balad,2006
ד,פסגות,3659,NA,711,711,0,"בל""ד",balad,2006
ד,יפעת,134,NA,447,441,0,"בל""ד",balad,2006
ד,עין גדי,2042,NA,297,296,0,"בל""ד",balad,2006
ד,גינתון,863,NA,347,346,0,"בל""ד",balad,2006
ד,גשר,305,NA,302,297,0,"בל""ד",balad,2006
ד,אלוני אבא,429,NA,196,196,0,"בל""ד",balad,2006
ד,כאבול,504,NA,3518,3484,857,"בל""ד",balad,2006
ד,חולתה,253,NA,244,243,0,"בל""ד",balad,2006
ד,גני הדר,1103,NA,119,118,0,"בל""ד",balad,2006
ד,פרי גן,1231,NA,57,57,0,"בל""ד",balad,2006
ד,ירוחם,831,NA,3143,3079,1,"בל""ד",balad,2006
ד,חברון,1983,NA,225,225,0,"בל""ד",balad,2006
ד,גן חיים,239,NA,362,360,0,"בל""ד",balad,2006
ד,פסוטה,535,NA,959,946,375,"בל""ד",balad,2006
ד,יפתח,453,NA,297,295,0,"בל""ד",balad,2006
ד,עין דור,436,NA,399,397,0,"בל""ד",balad,2006
ד,גיתה,1206,NA,107,106,0,"בל""ד",balad,2006
ד,גשר הזיו,574,NA,440,435,0,"בל""ד",balad,2006
ד,אלוני הבשן,4017,NA,86,86,0,"בל""ד",balad,2006
ד,כאוכב אבו אל-היג'א,505,NA,1381,1362,272,"בל""ד",balad,2006
ד,חוסן,662,NA,348,347,0,"בל""ד",balad,2006
ד,גני יוחנן,862,NA,291,289,0,"בל""ד",balad,2006
ד,פתח תקווה,7900,NA,90612,89263,20,"בל""ד",balad,2006
ד,ירושלים,3000,NA,211490,208997,571,"בל""ד",balad,2006
ד,חגור,717,NA,350,341,0,"בל""ד",balad,2006
ד,גן יאשיה,734,NA,303,300,0,"בל""ד",balad,2006
ד,"פעמי תש""ז",2059,NA,160,160,0,"בל""ד",balad,2006
ד,יצהר,3749,NA,232,232,1,"בל""ד",balad,2006
ד,עין הבשור,1240,NA,378,376,0,"בל""ד",balad,2006
ד,גיתית,3613,NA,100,100,0,"בל""ד",balad,2006
ד,גת (קיבוץ),340,NA,245,245,0,"בל""ד",balad,2006
ד,אלוני יצחק,868,NA,22,22,0,"בל""ד",balad,2006
ד,כברי,576,NA,499,497,0,"בל""ד",balad,2006
ד,חוסנייה,1332,NA,118,112,0,"בל""ד",balad,2006
ד,גני עם,218,NA,155,155,0,"בל""ד",balad,2006
ד,פתחיה,839,NA,307,304,0,"בל""ד",balad,2006
ד,ירחיב,718,NA,319,312,0,"בל""ד",balad,2006
ד,חגי,3764,NA,163,163,0,"בל""ד",balad,2006
ד,גן יבנה,166,NA,5988,5941,1,"בל""ד",balad,2006
ד,פצאל,3615,NA,146,146,0,"בל""ד",balad,2006
ד,יציץ,759,NA,265,258,0,"בל""ד",balad,2006
ד,עין הוד,74,NA,218,213,3,"בל""ד",balad,2006
ד,גלאון,393,NA,219,217,0,"בל""ד",balad,2006
ד,גת רימון,128,NA,133,133,0,"בל""ד",balad,2006
ד,אלונים,285,NA,340,340,0,"בל""ד",balad,2006
ד,כוכב השחר,3564,NA,587,586,0,"בל""ד",balad,2006
ד,חופית,115,NA,496,493,1,"בל""ד",balad,2006
ד,גני תקווה,229,NA,6570,6503,0,"בל""ד",balad,2006
ד,צאלים,413,NA,248,244,0,"בל""ד",balad,2006
ד,ירכא,502,NA,4928,4850,154,"בל""ד",balad,2006
ד,חגלה,205,NA,304,304,0,"בל""ד",balad,2006
ד,גן נר,1274,NA,947,942,0,"בל""ד",balad,2006
ד,פקיעין (בוקייעה),536,NA,2488,2468,520,"בל""ד",balad,2006
ד,יקום,417,NA,363,361,0,"בל""ד",balad,2006
ד,עין החורש,167,NA,488,484,1,"בל""ד",balad,2006
ד,גלגל,3606,NA,68,68,0,"בל""ד",balad,2006
ד,דבורה,146,NA,144,142,0,"בל""ד",balad,2006
ד,אלי-עד,4002,NA,127,120,0,"בל""ד",balad,2006
ד,זוהר,44,NA,171,170,0,"בל""ד",balad,2006
ד,חוקוק,374,NA,149,149,0,"בל""ד",balad,2006
ד,געש,842,NA,367,364,0,"בל""ד",balad,2006
ד,צביה,1180,NA,152,150,0,"בל""ד",balad,2006
ד,ירקונה,183,NA,160,158,0,"בל""ד",balad,2006
ד,בארי,399,NA,542,537,0,"בל""ד",balad,2006
ד,בית חירות,877,NA,358,358,0,"בל""ד",balad,2006
ד,דחי,475,NA,137,130,25,"בל""ד",balad,2006
ד,אלפי מנשה,3750,NA,2780,2758,0,"בל""ד",balad,2006
ד,זרחיה,818,NA,248,245,0,"בל""ד",balad,2006
ד,חלמיש,3573,NA,525,525,0,"בל""ד",balad,2006
ד,דבורייה,489,NA,2681,2641,638,"בל""ד",balad,2006
ד,אליכין,41,NA,1299,1280,0,"בל""ד",balad,2006
ד,זיקים,584,NA,207,207,0,"בל""ד",balad,2006
ד,חורה,1303,NA,2151,2111,27,"בל""ד",balad,2006
ד,בית מאיר,751,NA,266,266,0,"בל""ד",balad,2006
ד,צובה,465,NA,354,353,0,"בל""ד",balad,2006
ד,הר גילה,3603,NA,229,227,0,"בל""ד",balad,2006
ד,בוסתן הגליל,559,NA,246,245,0,"בל""ד",balad,2006
ד,בית חלקיה,2033,NA,208,204,0,"בל""ד",balad,2006
ד,דייר חנא,492,NA,3467,3443,571,"בל""ד",balad,2006
ד,אלקוש,603,NA,155,154,0,"בל""ד",balad,2006
ד,אשרת,1256,NA,217,215,0,"בל""ד",balad,2006
ד,חלץ,820,NA,249,245,0,"בל""ד",balad,2006
ד,דבירה,849,NA,218,218,0,"בל""ד",balad,2006
ד,אליפלט,730,NA,206,205,0,"בל""ד",balad,2006
ד,זיתן,788,NA,407,403,0,"בל""ד",balad,2006
ד,חורפיש,496,NA,2526,2515,102,"בל""ד",balad,2006
ד,בית נחמיה,784,NA,298,295,0,"בל""ד",balad,2006
ד,צוחר,1136,NA,166,165,0,"בל""ד",balad,2006
ד,הראל,464,NA,69,69,0,"בל""ד",balad,2006
ד,בועיינה-נוג'ידאת,482,NA,2488,2394,710,"בל""ד",balad,2006
ד,בית חנן,159,NA,328,326,0,"בל""ד",balad,2006
ד,דימונה,2200,NA,12500,12100,11,"בל""ד",balad,2006
ד,אלקנה,3560,NA,1799,1795,0,"בל""ד",balad,2006
ד,אשתאול,740,NA,348,341,0,"בל""ד",balad,2006
ד,חמאם,993,NA,440,427,135,"בל""ד",balad,2006
ד,דברת,407,NA,170,169,0,"בל""ד",balad,2006
ד,אליקים,682,NA,333,331,0,"בל""ד",balad,2006
ד,זכרון יעקב,9300,NA,7676,7593,0,"בל""ד",balad,2006
ד,חורשים,355,NA,134,134,0,"בל""ד",balad,2006
ד,בית ניר,16,NA,169,169,0,"בל""ד",balad,2006
ד,צופים,3791,NA,360,358,0,"בל""ד",balad,2006
ד,הרדוף,1249,NA,178,178,0,"בל""ד",balad,2006
ד,בוקעאתא,4001,NA,91,90,0,"בל""ד",balad,2006
ד,בית חנניה,800,NA,325,323,0,"בל""ד",balad,2006
ד,דישון,2063,NA,175,173,0,"בל""ד",balad,2006
ד,אמונים,772,NA,396,395,0,"בל""ד",balad,2006
ד,באקה אל-גרביה,6000,NA,7880,7623,1995,"בל""ד",balad,2006
ד,חמד,801,NA,285,285,0,"בל""ד",balad,2006
ד,דגניה א',62,NA,333,331,0,"בל""ד",balad,2006
ד,אלישיב,204,NA,274,272,0,"בל""ד",balad,2006
ד,זכריה,799,NA,300,294,0,"בל""ד",balad,2006
ד,חזון,1047,NA,177,176,0,"בל""ד",balad,2006
ד,בית נקופה,672,NA,222,220,0,"בל""ד",balad,2006
ד,צופית,198,NA,479,475,0,"בל""ד",balad,2006
ד,הרצלייה,6400,NA,47119,46552,13,"בל""ד",balad,2006
ד,בורגתה,698,NA,445,441,0,"בל""ד",balad,2006
ד,בית חשמונאי,1050,NA,405,404,0,"בל""ד",balad,2006
ד,דלייה,300,NA,494,493,0,"בל""ד",balad,2006
ד,אמירים,1064,NA,257,255,0,"בל""ד",balad,2006
ד,באר טוביה,155,NA,429,426,0,"בל""ד",balad,2006
ד,חמדיה,343,NA,207,205,0,"בל""ד",balad,2006
ד,דגניה ב',79,NA,300,299,0,"בל""ד",balad,2006
ד,אלישמע,841,NA,401,400,0,"בל""ד",balad,2006
ד,זמר,1290,NA,1800,1764,698,"בל""ד",balad,2006
ד,חיבת ציון,219,NA,265,263,0,"בל""ד",balad,2006
ד,בית עובד,202,NA,209,209,0,"בל""ד",balad,2006
ד,צופר,1150,NA,181,180,0,"בל""ד",balad,2006
ד,הררית,1203,NA,115,113,0,"בל""ד",balad,2006
ד,בחן,2043,NA,172,171,0,"בל""ד",balad,2006
ד,בית יהושע,288,NA,393,391,0,"בל""ד",balad,2006
ד,דלתון,431,NA,276,274,1,"בל""ד",balad,2006
ד,אמנון,1253,NA,128,127,0,"בל""ד",balad,2006
ד,באר יעקב,2530,NA,3184,3136,0,"בל""ד",balad,2006
ד,חמרה,3609,NA,80,80,0,"בל""ד",balad,2006
ד,"דוב""ב",1067,NA,179,177,0,"בל""ד",balad,2006
ד,אלמגור,1125,NA,174,173,0,"בל""ד",balad,2006
ד,זמרת,1065,NA,147,143,0,"בל""ד",balad,2006
ד,חיננית,3643,NA,283,283,0,"בל""ד",balad,2006
ד,בית עוזיאל,301,NA,246,246,0,"בל""ד",balad,2006
ד,צוקי ים,1102,NA,100,100,0,"בל""ד",balad,2006
ד,ורד יריחו,3639,NA,93,93,0,"בל""ד",balad,2006
ד,בטחה,762,NA,324,314,0,"בל""ד",balad,2006
ד,בית יוסף,265,NA,168,166,0,"בל""ד",balad,2006
ד,דמיידה,1317,NA,128,119,13,"בל""ד",balad,2006
ד,אמציה,23,NA,76,76,0,"בל""ד",balad,2006
ד,באר שבע,9000,NA,73722,72178,87,"בל""ד",balad,2006
ד,חניאל,807,NA,373,371,0,"בל""ד",balad,2006
ד,דולב,3747,NA,410,409,0,"בל""ד",balad,2006
ד,אלמוג,3556,NA,63,63,0,"בל""ד",balad,2006
ד,זנוח,816,NA,177,177,0,"בל""ד",balad,2006
ד,חיפה,4000,NA,134744,132516,3880,"בל""ד",balad,2006
ד,בית עזרא,756,NA,435,433,0,"בל""ד",balad,2006
ד,צור הדסה,1113,NA,1652,1640,0,"בל""ד",balad,2006
ד,ורדון,1133,NA,110,110,0,"בל""ד",balad,2006
ד,ביצרון,234,NA,520,519,0,"בל""ד",balad,2006
ד,בית ינאי,200,NA,197,194,0,"בל""ד",balad,2006
ד,דן,303,NA,295,291,0,"בל""ד",balad,2006
ד,אניעם,4012,NA,159,158,0,"בל""ד",balad,2006
ד,בארות יצחק,450,NA,252,249,0,"בל""ד",balad,2006
ד,חניתה,280,NA,313,311,0,"בל""ד",balad,2006
ד,דור,738,NA,159,156,0,"בל""ד",balad,2006
ד,אלעד,1309,NA,9699,9637,0,"בל""ד",balad,2006
ד,זרועה,2064,NA,105,105,0,"בל""ד",balad,2006
ד,חירות,162,NA,578,578,0,"בל""ד",balad,2006
ד,בית עריף,604,NA,343,337,0,"בל""ד",balad,2006
ד,צור משה,276,NA,1041,1034,0,"בל""ד",balad,2006
ד,זבדיאל,815,NA,242,238,0,"בל""ד",balad,2006
ד,ביר אל-מכסור,998,NA,1690,1640,259,"בל""ד",balad,2006
ד,בית יצחק-שער חפר,326,NA,1021,1009,0,"בל""ד",balad,2006
ד,דפנה,302,NA,376,374,0,"בל""ד",balad,2006
ד,אסד (שבט),960,NA,102,97,34,"בל""ד",balad,2006
ד,בארותיים,697,NA,342,333,0,"בל""ד",balad,2006
ד,חספין,4005,NA,406,405,0,"בל""ד",balad,2006
ד,דורות,336,NA,299,298,0,"בל""ד",balad,2006
ד,אלעזר,3618,NA,513,511,0,"בל""ד",balad,2006
ד,זרזיר,975,NA,1576,1535,99,"בל""ד",balad,2006
ד,חלוץ,1272,NA,148,147,0,"בל""ד",balad,2006
ד,בית קמה,598,NA,189,188,0,"בל""ד",balad,2006
ד,צור נתן,1148,NA,127,126,0,"בל""ד",balad,2006
ד,ארז,714,NA,224,222,0,"בל""ד",balad,2006
ד,בירייה,368,NA,305,304,0,"בל""ד",balad,2006
ד,בית לחם הגלילית,430,NA,347,346,0,"בל""ד",balad,2006
ד,דקל,1241,NA,120,119,0,"בל""ד",balad,2006
ד,אספר,3754,NA,104,103,0,"בל""ד",balad,2006
ד,ראס אל-עין,1334,NA,82,80,37,"בל""ד",balad,2006
ד,רמות השבים,206,NA,614,610,0,"בל""ד",balad,2006
ד,בלפוריה,94,NA,177,175,0,"בל""ד",balad,2006
ד,צרופה,612,NA,366,363,0,"בל""ד",balad,2006
ד,אשקלון,7100,NA,45070,44080,36,"בל""ד",balad,2006
ד,בית הגדי,723,NA,255,252,0,"בל""ד",balad,2006
ד,בית קשת,365,NA,153,148,0,"בל""ד",balad,2006
ד,צוריאל,774,NA,144,143,0,"בל""ד",balad,2006
ד,אריאל,3570,NA,7553,7387,7,"בל""ד",balad,2006
ד,בית אורן,317,NA,153,153,0,"בל""ד",balad,2006
ד,רמת השרון,2650,NA,21994,21782,4,"בל""ד",balad,2006
ד,דריג'את,1349,NA,201,192,1,"בל""ד",balad,2006
ד,אעבלין,529,NA,3855,3779,941,"בל""ד",balad,2006
ד,ראס עלי,990,NA,196,0,0,"בל""ד",balad,2006
ד,רמות מאיר,735,NA,277,272,0,"בל""ד",balad,2006
ד,בן זכאי,760,NA,292,289,0,"בל""ד",balad,2006
ד,צרעה,567,NA,514,512,1,"בל""ד",balad,2006
ד,קריית מלאכי,1034,NA,7900,7715,0,"בל""ד",balad,2006
ד,בית הלוי,373,NA,302,300,0,"בל""ד",balad,2006
ד,בית רבן,848,NA,131,130,0,"בל""ד",balad,2006
ד,צורית,1221,NA,358,358,1,"בל""ד",balad,2006
ד,אשבול,71,NA,155,153,0,"בל""ד",balad,2006
ד,בית אל,3574,NA,2297,2279,0,"בל""ד",balad,2006
ד,רמת יוחנן,178,NA,421,418,0,"בל""ד",balad,2006
ד,האון,702,NA,90,90,0,"בל""ד",balad,2006
ד,אעצם (שבט),963,NA,782,761,13,"בל""ד",balad,2006
ד,ראש העין,2640,NA,16454,16255,1,"בל""ד",balad,2006
ד,רמות מנשה,445,NA,342,342,0,"בל""ד",balad,2006
ד,בן עמי,712,NA,275,273,0,"בל""ד",balad,2006
ד,קבועה (שבט),1234,NA,148,144,7,"בל""ד",balad,2006
ד,קריית נטפים,3746,NA,180,180,0,"בל""ד",balad,2006
ד,בית הלל,322,NA,299,297,0,"בל""ד",balad,2006
ד,בית רימון,1162,NA,122,122,0,"בל""ד",balad,2006
ד,קדימה-צורן,195,NA,6878,6793,1,"בל""ד",balad,2006
ד,אשדוד,70,NA,86978,85164,39,"בל""ד",balad,2006
ד,בית אלעזרי,562,NA,532,528,0,"בל""ד",balad,2006
ד,רמת ישי,122,NA,2686,2657,3,"בל""ד",balad,2006
ד,הבונים,675,NA,159,159,0,"בל""ד",balad,2006
ד,אפיק,4301,NA,147,145,0,"בל""ד",balad,2006
ד,ראש פינה,26,NA,1228,1227,2,"בל""ד",balad,2006
ד,רמות נפתלי,372,NA,287,285,0,"בל""ד",balad,2006
ד,בן שמן (כפר נוער),1084,NA,154,154,0,"בל""ד",balad,2006
ד,קבוצת יבנה,334,NA,439,433,1,"בל""ד",balad,2006
ד,קריית ענבים,78,NA,206,205,0,"בל""ד",balad,2006
ד,בית העמק,572,NA,313,312,0,"בל""ד",balad,2006
ד,בית שאן,9200,NA,6663,6572,1,"בל""ד",balad,2006
ד,ציפורי,613,NA,259,256,0,"בל""ד",balad,2006
ד,אשדות יעקב (איחוד),199,NA,294,292,0,"בל""ד",balad,2006
ד,בית אלפא,95,NA,385,385,0,"בל""ד",balad,2006
ד,רמת מגשימים,4701,NA,301,300,0,"בל""ד",balad,2006
ד,הגושרים,356,NA,321,320,0,"בל""ד",balad,2006
ד,אפיקים,176,NA,682,678,0,"בל""ד",balad,2006
ד,ראש צורים,3602,NA,192,192,0,"בל""ד",balad,2006
ד,רמלה,8500,NA,24685,24047,606,"בל""ד",balad,2006
ד,בן שמן (מושב),2013,NA,325,323,0,"בל""ד",balad,2006
ד,קדומים,3557,NA,1633,1627,0,"בל""ד",balad,2006
ד,קריית עקרון,469,NA,4140,4065,2,"בל""ד",balad,2006
ד,בית הערבה,3645,NA,39,39,0,"בל""ד",balad,2006
ד,בית שמש,2610,NA,21965,21669,9,"בל""ד",balad,2006
ד,צלפון,796,NA,279,275,0,"בל""ד",balad,2006
ד,אשדות יעקב (מאוחד),188,NA,238,236,0,"בל""ד",balad,2006
ד,בית אריה,3652,NA,1524,1515,2,"בל""ד",balad,2006
ד,רמת פנקס,883,NA,295,291,0,"בל""ד",balad,2006
ד,הדר עם,191,NA,285,284,0,"בל""ד",balad,2006
