"Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval"
436,"a","a",1220,12,2010,0,NA,NA,""
437,"a","c",10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct"
438,"a","a",2330,10,2014,1,18,2011,"Feb,May,Aug,Nov"
439,"d","a",15040,10,2004,0,NA,NA,""
440,"d","c",330,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
441,"a","a",180,NA,NA,1,5,2013,"Jan,Apr,Jul,Oct"
442,"a","c",8860,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
443,"a","a",8550,9,2001,1,45,2009,"Feb,May,Aug,Nov"
444,"a","a",3150,5,2005,0,NA,NA,""
445,"a","a",17500,8,2008,1,37,2009,"Mar,Jun,Sept,Dec"
446,"a","c",2900,7,1990,0,NA,NA,""
447,"b","b",3640,NA,NA,1,10,2013,"Jan,Apr,Jul,Oct"
448,"c","c",2640,4,2011,1,22,2012,"Mar,Jun,Sept,Dec"
449,"c","a",700,4,2009,1,14,2011,"Jan,Apr,Jul,Oct"
450,"a","a",1350,9,2009,0,NA,NA,""
451,"a","c",15710,2,2013,1,37,2009,"Jan,Apr,Jul,Oct"
452,"d","c",15340,4,2015,1,39,2009,"Jan,Apr,Jul,Oct"
453,"c","c",8140,11,2013,1,10,2014,"Mar,Jun,Sept,Dec"
454,"a","a",190,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
455,"a","a",280,9,2008,0,NA,NA,""
456,"a","c",1520,NA,NA,0,NA,NA,""
457,"d","c",8460,NA,NA,0,NA,NA,""
458,"c","a",20970,11,2012,0,NA,NA,""
459,"a","a",1650,10,2000,0,NA,NA,""
460,"a","c",18370,2,2013,1,14,2011,"Jan,Apr,Jul,Oct"
461,"d","c",3230,11,2011,0,NA,NA,""
462,"c","c",330,11,2008,1,5,2013,"Feb,May,Aug,Nov"
463,"d","c",4520,9,2010,1,31,2013,"Jan,Apr,Jul,Oct"
464,"d","a",1760,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
465,"a","a",200,NA,NA,0,NA,NA,""
466,"c","a",500,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
467,"d","a",3050,NA,NA,1,35,2010,"Jan,Apr,Jul,Oct"
468,"c","a",240,9,2002,0,NA,NA,""
469,"d","a",17290,10,2013,0,NA,NA,""
470,"a","a",2320,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct"
471,"a","c",670,NA,NA,1,14,2015,"Jan,Apr,Jul,Oct"
472,"a","c",3240,NA,NA,1,22,2011,"Mar,Jun,Sept,Dec"
473,"d","c",12480,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
474,"d","c",1390,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec"
475,"a","a",150,9,2008,1,1,2012,"Mar,Jun,Sept,Dec"
476,"a","a",2050,3,2007,0,NA,NA,""
477,"a","a",100,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
478,"d","a",8300,9,2006,0,NA,NA,""
479,"d","c",1500,10,2005,0,NA,NA,""
480,"a","c",18160,NA,NA,0,NA,NA,""
481,"c","c",190,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
482,"d","c",3580,9,2012,0,NA,NA,""
483,"d","c",7160,11,2012,1,9,2011,"Jan,Apr,Jul,Oct"
484,"a","c",100,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
485,"a","a",1450,7,2014,0,NA,NA,""
486,"d","a",6400,3,2014,0,NA,NA,""
487,"a","c",250,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
488,"a","c",380,NA,NA,1,14,2012,"Jan,Apr,Jul,Oct"
489,"a","a",1980,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
490,"a","c",6320,NA,NA,1,5,2011,"Jan,Apr,Jul,Oct"
491,"a","c",1650,9,2008,0,NA,NA,""
492,"a","a",910,NA,NA,0,NA,NA,""
493,"a","a",230,7,2004,1,10,2014,"Jan,Apr,Jul,Oct"
494,"c","c",13570,5,2010,1,10,2013,"Mar,Jun,Sept,Dec"
495,"d","c",8110,NA,NA,0,NA,NA,""
496,"b","a",1180,5,2013,0,NA,NA,""
497,"a","c",1480,9,2011,1,1,2012,"Jan,Apr,Jul,Oct"
498,"d","a",590,5,2001,0,NA,NA,""
499,"a","c",16570,NA,NA,0,NA,NA,""
500,"a","a",550,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
501,"c","a",550,12,2013,1,40,2014,"Jan,Apr,Jul,Oct"
502,"a","a",820,3,2012,1,35,2012,"Mar,Jun,Sept,Dec"
503,"a","a",580,1,2005,0,NA,NA,""
504,"d","a",1450,3,2012,1,14,2011,"Jan,Apr,Jul,Oct"
505,"d","c",3270,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
506,"d","a",7830,9,2014,1,10,2014,"Mar,Jun,Sept,Dec"
507,"d","c",22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct"
508,"a","a",420,12,2012,0,NA,NA,""
509,"d","c",5540,10,2009,0,NA,NA,""
510,"a","a",18540,NA,NA,0,NA,NA,""
511,"a","a",1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct"
512,"d","a",3520,NA,NA,1,18,2012,"Feb,May,Aug,Nov"
513,"c","c",900,9,2010,0,NA,NA,""
514,"a","a",4420,9,2005,0,NA,NA,""
515,"a","c",5330,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
516,"a","a",1290,NA,NA,1,35,2011,"Mar,Jun,Sept,Dec"
517,"d","c",2770,6,2008,1,22,2011,"Jan,Apr,Jul,Oct"
518,"d","a",19700,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
519,"d","c",270,2,2013,1,40,2012,"Jan,Apr,Jul,Oct"
520,"c","a",250,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
521,"a","c",110,NA,NA,0,NA,NA,""
522,"a","a",280,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
523,"a","a",14040,NA,NA,0,NA,NA,""
524,"a","c",3430,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
525,"d","a",1360,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec"
526,"d","c",540,11,2012,1,35,2010,"Mar,Jun,Sept,Dec"
527,"c","a",1560,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
528,"a","a",1200,9,2008,0,NA,NA,""
529,"a","a",2260,NA,NA,0,NA,NA,""
530,"a","c",640,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec"
531,"d","c",4030,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
532,"a","c",1130,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
533,"c","a",3250,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
534,"a","a",16760,9,2011,0,NA,NA,""
535,"d","c",5830,4,2008,0,NA,NA,""
536,"d","c",1250,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
537,"a","a",7780,11,2006,0,NA,NA,""
538,"a","c",210,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct"
539,"a","a",780,4,2009,0,NA,NA,""
540,"a","c",11810,8,2014,0,NA,NA,""
541,"a","a",180,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
542,"a","a",5290,11,2012,1,5,2013,"Feb,May,Aug,Nov"
543,"a","a",310,12,2013,0,NA,NA,""
544,"a","c",420,NA,NA,0,NA,NA,""
545,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct"
546,"a","a",13020,8,2003,1,40,2014,"Jan,Apr,Jul,Oct"
547,"c","a",3390,NA,NA,0,NA,NA,""
548,"a","c",22490,NA,NA,0,NA,NA,""
549,"a","c",14600,4,2015,0,NA,NA,""
550,"a","a",9580,5,2007,1,45,2014,"Feb,May,Aug,Nov"
551,"c","c",8980,6,2011,0,NA,NA,""
552,"a","a",270,8,2013,1,10,2014,"Mar,Jun,Sept,Dec"
553,"a","a",3210,NA,NA,0,NA,NA,""
554,"d","c",7660,10,2000,1,1,2012,"Jan,Apr,Jul,Oct"
555,"c","c",50,11,2013,0,NA,NA,""
556,"d","a",17080,7,2012,1,31,2013,"Jan,Apr,Jul,Oct"
557,"b","b",1410,9,2008,0,NA,NA,""
558,"a","a",18620,NA,NA,1,31,2009,"Feb,May,Aug,Nov"
559,"d","c",7550,NA,NA,0,NA,NA,""
560,"a","c",480,NA,NA,0,NA,NA,""
561,"a","a",3020,2,2010,0,NA,NA,""
562,"c","a",450,6,2011,1,48,2012,"Mar,Jun,Sept,Dec"
563,"d","a",2130,12,2008,0,NA,NA,""
564,"d","c",970,7,2005,1,31,2013,"Feb,May,Aug,Nov"
565,"a","a",520,NA,NA,0,NA,NA,""
566,"c","c",11470,10,2009,1,18,2014,"Jan,Apr,Jul,Oct"
567,"a","c",2270,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec"
568,"d","a",800,NA,NA,1,14,2011,"Mar,Jun,Sept,Dec"
569,"c","c",5830,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
570,"c","a",1620,9,2009,0,NA,NA,""
571,"a","a",330,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
572,"d","c",4460,NA,NA,1,39,2010,"Jan,Apr,Jul,Oct"
573,"a","a",180,11,2013,1,18,2011,"Feb,May,Aug,Nov"
574,"d","c",1970,7,2009,1,45,2014,"Feb,May,Aug,Nov"
575,"a","a",400,8,2013,0,NA,NA,""
576,"a","a",1460,4,2015,0,NA,NA,""
577,"a","c",270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
578,"a","a",1830,11,2004,0,NA,NA,""
579,"a","a",3920,4,2005,1,40,2014,"Jan,Apr,Jul,Oct"
580,"d","a",2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct"
581,"a","c",640,9,2013,0,NA,NA,""
582,"c","c",10740,11,2013,0,NA,NA,""
583,"d","c",15720,3,2010,0,NA,NA,""
584,"a","a",120,NA,NA,0,NA,NA,""
585,"c","a",4030,12,2004,1,14,2011,"Jan,Apr,Jul,Oct"
586,"d","c",2920,10,1995,1,27,2011,"Jan,Apr,Jul,Oct"
587,"a","a",410,9,2012,0,NA,NA,""
588,"d","c",5350,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec"
589,"d","c",4380,NA,NA,0,NA,NA,""
590,"d","c",18010,9,2007,0,NA,NA,""
591,"a","c",340,NA,NA,0,NA,NA,""
592,"d","c",2190,12,2007,1,9,2011,"Mar,Jun,Sept,Dec"
593,"c","a",1690,6,2007,0,NA,NA,""
594,"c","c",1650,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
595,"d","c",2180,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
596,"d","c",2640,NA,NA,0,NA,NA,""
597,"a","a",760,12,2005,0,NA,NA,""
598,"a","a",1640,6,2006,1,40,2011,"Jan,Apr,Jul,Oct"
599,"d","a",1350,12,2005,1,13,2010,"Jan,Apr,Jul,Oct"
600,"d","c",1280,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec"
601,"a","a",8780,2,2005,1,37,2009,"Jan,Apr,Jul,Oct"
602,"a","c",1060,12,2005,0,NA,NA,""
603,"d","a",3140,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
604,"c","a",4770,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct"
605,"a","c",2200,12,2010,1,22,2012,"Feb,May,Aug,Nov"
606,"a","c",23130,NA,NA,0,NA,NA,""
607,"a","a",2710,7,2001,1,22,2012,"Mar,Jun,Sept,Dec"
608,"d","c",10690,9,2007,1,5,2013,"Jan,Apr,Jul,Oct"
609,"a","a",2710,NA,NA,0,NA,NA,""
610,"a","a",120,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
611,"a","a",1790,10,2011,0,NA,NA,""
612,"a","c",7340,5,2008,1,27,2012,"Jan,Apr,Jul,Oct"
613,"a","a",3440,NA,NA,1,31,2013,"Feb,May,Aug,Nov"
614,"a","a",90,12,2012,1,14,2011,"Jan,Apr,Jul,Oct"
615,"a","c",350,NA,NA,0,NA,NA,""
616,"a","a",21790,4,2005,1,18,2015,"Feb,May,Aug,Nov"
617,"c","c",430,NA,NA,1,50,2010,"Jan,Apr,Jul,Oct"
618,"a","a",1080,4,2008,1,14,2011,"Jan,Apr,Jul,Oct"
619,"a","a",370,7,2012,1,14,2011,"Jan,Apr,Jul,Oct"
620,"a","c",16210,11,2010,0,NA,NA,""
621,"d","c",38630,9,2012,0,NA,NA,""
622,"d","a",48330,4,2013,0,NA,NA,""
623,"d","c",4060,9,2012,0,NA,NA,""
624,"d","c",420,6,2014,0,NA,NA,""
625,"a","a",540,6,2011,0,NA,NA,""
626,"a","a",2240,5,2013,1,10,2014,"Mar,Jun,Sept,Dec"
627,"c","a",300,4,2006,0,NA,NA,""
628,"d","c",7840,NA,NA,1,31,2009,"Feb,May,Aug,Nov"
629,"d","c",5010,NA,NA,1,5,2013,"Jan,Apr,Jul,Oct"
630,"d","a",310,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
631,"a","a",290,10,2011,1,40,2014,"Jan,Apr,Jul,Oct"
632,"a","c",1320,5,2013,0,NA,NA,""
633,"a","a",840,9,2006,0,NA,NA,""
634,"d","c",9560,NA,NA,1,36,2013,"Jan,Apr,Jul,Oct"
635,"a","a",1710,7,2015,0,NA,NA,""
636,"a","a",1640,2,2013,0,NA,NA,""
637,"a","c",650,7,1990,0,NA,NA,""
638,"a","c",8090,NA,NA,0,NA,NA,""
639,"c","c",5030,8,2011,0,NA,NA,""
640,"d","c",310,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
641,"d","a",980,7,2014,1,18,2014,"Feb,May,Aug,Nov"
642,"d","a",2710,7,2006,0,NA,NA,""
643,"c","c",4180,9,2012,0,NA,NA,""
644,"a","a",150,12,2007,1,10,2014,"Mar,Jun,Sept,Dec"
645,"d","c",18010,9,2014,0,NA,NA,""
646,"d","a",8530,3,2013,0,NA,NA,""
647,"a","a",14570,11,2002,0,NA,NA,""
648,"a","a",3200,6,2005,0,NA,NA,""
649,"d","c",4820,3,2008,0,NA,NA,""
650,"d","c",17340,6,2010,1,9,2011,"Feb,May,Aug,Nov"
651,"d","c",2620,11,2002,0,NA,NA,""
652,"a","c",2280,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec"
653,"d","a",2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
654,"a","c",40860,9,2013,0,NA,NA,""
655,"a","c",410,11,2010,1,48,2010,"Mar,Jun,Sept,Dec"
656,"a","c",870,NA,NA,0,NA,NA,""
657,"a","a",16990,4,2004,0,NA,NA,""
658,"a","a",300,11,2012,0,NA,NA,""
659,"c","a",5780,11,1994,1,10,2014,"Mar,Jun,Sept,Dec"
660,"a","c",360,NA,NA,1,18,2013,"Feb,May,Aug,Nov"
661,"a","a",240,NA,NA,0,NA,NA,""
662,"d","c",32240,3,2010,0,NA,NA,""
663,"d","c",1850,NA,NA,0,NA,NA,""
664,"a","a",7520,10,2014,0,NA,NA,""
665,"c","c",3330,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
666,"a","a",9560,4,2001,0,NA,NA,""
667,"a","a",2960,10,2014,1,36,2013,"Mar,Jun,Sept,Dec"
668,"a","a",40,3,2014,1,1,2014,"Jan,Apr,Jul,Oct"
669,"c","a",1190,NA,NA,0,NA,NA,""
670,"c","c",5090,9,2006,0,NA,NA,""
671,"d","a",330,3,2008,1,1,2012,"Mar,Jun,Sept,Dec"
672,"c","a",260,NA,NA,0,NA,NA,""
673,"a","a",540,4,2004,0,NA,NA,""
674,"d","a",17930,NA,NA,0,NA,NA,""
675,"d","c",1450,4,2005,1,45,2009,"Feb,May,Aug,Nov"
676,"d","a",5220,5,2009,0,NA,NA,""
677,"d","c",70,11,2010,1,5,2013,"Feb,May,Aug,Nov"
678,"d","c",9230,4,2004,1,37,2009,"Jan,Apr,Jul,Oct"
679,"a","a",190,7,2014,0,NA,NA,""
680,"d","a",8990,NA,NA,1,31,2009,"Feb,May,Aug,Nov"
681,"a","c",3450,NA,NA,0,NA,NA,""
682,"a","a",50,NA,NA,0,NA,NA,""
683,"d","a",NA,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
684,"a","a",1700,1,2008,1,14,2011,"Jan,Apr,Jul,Oct"
685,"a","a",380,5,2011,1,40,2014,"Jan,Apr,Jul,Oct"
686,"d","a",4060,8,2005,0,NA,NA,""
687,"a","a",290,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
688,"a","a",150,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct"
689,"d","c",1870,9,2013,0,NA,NA,""
690,"d","c",3760,2,2009,0,NA,NA,""
691,"d","c",13530,9,2013,0,NA,NA,""
692,"a","a",17500,4,2001,1,37,2009,"Jan,Apr,Jul,Oct"
693,"a","c",70,7,2005,1,13,2010,"Jan,Apr,Jul,Oct"
694,"d","c",6680,9,2013,0,NA,NA,""
695,"a","a",5890,10,2003,1,14,2011,"Feb,May,Aug,Nov"
696,"d","a",2960,12,2014,1,23,2015,"Mar,Jun,Sept,Dec"
697,"a","a",130,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
698,"a","c",1850,8,2013,1,5,2011,"Feb,May,Aug,Nov"
699,"a","a",15430,11,2012,1,18,2011,"Feb,May,Aug,Nov"
700,"c","a",1700,11,2009,0,NA,NA,""
701,"a","c",46590,4,2013,0,NA,NA,""
702,"c","c",2030,11,2003,1,22,2012,"Mar,Jun,Sept,Dec"
703,"c","c",550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct"
704,"a","a",1310,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
705,"a","a",540,10,2011,0,NA,NA,""
706,"d","c",10620,NA,NA,0,NA,NA,""
707,"a","a",3620,2,2013,0,NA,NA,""
708,"a","a",5710,3,2012,1,37,2009,"Jan,Apr,Jul,Oct"
709,"a","a",1740,3,2008,1,40,2012,"Jan,Apr,Jul,Oct"
710,"a","c",760,9,2014,0,NA,NA,""
711,"c","a",50,11,2006,0,NA,NA,""
712,"a","a",13750,4,2015,0,NA,NA,""
713,"c","c",2470,2,2005,1,31,2013,"Mar,Jun,Sept,Dec"
714,"d","c",1790,7,2013,1,40,2013,"Jan,Apr,Jul,Oct"
715,"a","a",580,2,2008,0,NA,NA,""
716,"a","a",390,6,2009,0,NA,NA,""
717,"d","c",10800,NA,NA,1,18,2011,"Feb,May,Aug,Nov"
718,"a","a",760,2,2008,0,NA,NA,""
719,"d","a",150,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
720,"d","c",5840,7,2010,1,37,2009,"Jan,Apr,Jul,Oct"
721,"c","c",340,NA,NA,0,NA,NA,""
722,"d","a",8670,2,2002,1,14,2011,"Jan,Apr,Jul,Oct"
723,"a","a",570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
724,"c","a",3150,NA,NA,0,NA,NA,""
725,"a","a",8080,12,2002,1,40,2014,"Jan,Apr,Jul,Oct"
726,"d","c",2440,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec"
727,"c","a",1270,9,2008,0,NA,NA,""
728,"a","c",40540,2,2002,0,NA,NA,""
729,"a","c",6190,NA,NA,1,23,2013,"Mar,Jun,Sept,Dec"
730,"d","a",20930,NA,NA,0,NA,NA,""
731,"d","c",5210,5,2015,0,NA,NA,""
732,"d","c",20930,11,1999,0,NA,NA,""
733,"a","c",15050,9,2008,0,NA,NA,""
734,"a","a",110,12,2007,0,NA,NA,""
735,"a","c",300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct"
736,"d","c",450,4,2014,1,39,2010,"Jan,Apr,Jul,Oct"
737,"a","a",1410,4,2003,0,NA,NA,""
738,"a","a",110,11,2012,1,31,2013,"Feb,May,Aug,Nov"
739,"a","a",320,12,2005,1,9,2011,"Feb,May,Aug,Nov"
740,"c","a",940,4,2004,1,14,2011,"Jan,Apr,Jul,Oct"
741,"a","c",170,9,2012,0,NA,NA,""
742,"a","c",130,NA,NA,1,27,2013,"Feb,May,Aug,Nov"
743,"a","a",2060,10,2008,0,NA,NA,""
744,"a","c",21370,11,2010,0,NA,NA,""
745,"a","a",2060,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
746,"a","a",500,12,2010,0,NA,NA,""
747,"d","c",3460,10,2013,1,10,2014,"Jan,Apr,Jul,Oct"
748,"d","c",3560,NA,NA,0,NA,NA,""
749,"a","a",5950,4,2007,0,NA,NA,""
750,"a","a",4030,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
751,"c","a",19640,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
752,"b","b",210,NA,NA,0,NA,NA,""
753,"c","a",3380,4,2013,0,NA,NA,""
754,"d","a",6560,12,2013,0,NA,NA,""
755,"a","c",29190,NA,NA,0,NA,NA,""
756,"c","a",110,NA,NA,0,NA,NA,""
757,"c","c",1390,12,2004,0,NA,NA,""
758,"a","a",2040,11,2008,0,NA,NA,""
759,"d","a",5470,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
760,"d","c",330,NA,NA,1,28,2012,"Jan,Apr,Jul,Oct"
761,"c","a",3490,4,2011,1,22,2012,"Jan,Apr,Jul,Oct"
762,"a","c",70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
763,"d","a",11300,3,2012,0,NA,NA,""
764,"a","a",480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct"
765,"a","c",7980,6,2005,0,NA,NA,""
766,"d","a",3780,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
767,"c","a",240,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
768,"a","a",260,10,2006,1,31,2013,"Feb,May,Aug,Nov"
769,"d","c",3840,10,2008,1,39,2010,"Feb,May,Aug,Nov"
770,"a","c",2310,9,2011,1,13,2010,"Jan,Apr,Jul,Oct"
771,"d","c",7520,7,2014,1,45,2009,"Feb,May,Aug,Nov"
772,"d","a",24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec"
773,"a","a",3410,8,2011,1,14,2015,"Jan,Apr,Jul,Oct"
774,"c","c",140,11,2007,0,NA,NA,""
775,"d","a",9000,8,2001,0,NA,NA,""
776,"d","a",2380,3,2010,1,14,2011,"Jan,Apr,Jul,Oct"
777,"a","a",16680,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct"
778,"a","a",1690,4,2015,0,NA,NA,""
779,"d","c",6860,NA,NA,1,18,2011,"Jan,Apr,Jul,Oct"
780,"a","a",60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct"
781,"a","a",1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
782,"a","c",220,NA,NA,0,NA,NA,""
783,"a","a",190,9,2011,0,NA,NA,""
784,"a","a",2220,12,2011,1,14,2015,"Jan,Apr,Jul,Oct"
785,"d","c",5870,4,2014,0,NA,NA,""
786,"a","a",27530,4,2014,0,NA,NA,""
787,"d","c",9910,12,2010,1,9,2011,"Mar,Jun,Sept,Dec"
788,"a","c",23620,11,2013,0,NA,NA,""
789,"a","a",100,NA,NA,0,NA,NA,""
790,"c","a",230,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
791,"a","a",2540,6,2005,0,NA,NA,""
792,"a","c",5950,NA,NA,0,NA,NA,""
793,"a","a",16240,10,2000,1,18,2011,"Feb,May,Aug,Nov"
794,"c","c",8190,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
795,"d","c",440,4,2014,0,NA,NA,""
796,"a","a",1800,11,2006,1,5,2013,"Feb,May,Aug,Nov"
797,"a","a",850,2,2012,1,40,2014,"Jan,Apr,Jul,Oct"
798,"a","a",14960,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
799,"d","c",8050,10,1961,1,48,2012,"Jan,Apr,Jul,Oct"
800,"b","b",590,NA,NA,1,5,2013,"Mar,Jun,Sept,Dec"
801,"d","c",8250,10,2004,1,10,2013,"Mar,Jun,Sept,Dec"
802,"d","a",18670,12,2005,0,NA,NA,""
803,"a","a",1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
804,"d","c",14160,NA,NA,0,NA,NA,""
805,"a","a",1420,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
806,"a","c",18050,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
807,"a","c",2180,NA,NA,0,NA,NA,""
808,"a","a",3000,2,2010,0,NA,NA,""
809,"a","a",620,10,2014,1,18,2014,"Feb,May,Aug,Nov"
810,"d","c",15140,12,2006,1,1,2012,"Jan,Apr,Jul,Oct"
811,"a","a",2410,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct"
812,"a","c",3300,11,2010,0,NA,NA,""
813,"d","a",10070,5,2015,1,31,2013,"Feb,May,Aug,Nov"
814,"a","a",3510,11,2006,1,5,2013,"Feb,May,Aug,Nov"
815,"c","c",1910,7,2013,0,NA,NA,""
816,"d","c",12020,7,2009,0,NA,NA,""
817,"a","a",960,5,2008,1,13,2010,"Jan,Apr,Jul,Oct"
818,"a","a",560,10,2014,1,10,2014,"Jan,Apr,Jul,Oct"
819,"a","c",26490,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec"
820,"c","c",2100,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct"
821,"a","a",90,NA,NA,1,45,2009,"Feb,May,Aug,Nov"
822,"c","a",420,3,2006,0,NA,NA,""
823,"a","c",350,3,2011,1,22,2011,"Feb,May,Aug,Nov"
824,"a","a",2460,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct"
825,"c","a",240,1,2015,0,NA,NA,""
826,"a","c",1140,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
827,"a","a",19830,4,2006,1,22,2011,"Mar,Jun,Sept,Dec"
828,"a","c",9770,7,2003,0,NA,NA,""
829,"a","a",10690,10,2005,0,NA,NA,""
830,"c","a",1600,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
831,"a","a",7280,9,2012,1,1,2013,"Jan,Apr,Jul,Oct"
832,"a","a",3320,NA,NA,0,NA,NA,""
833,"a","a",1100,6,2009,0,NA,NA,""
834,"d","c",8970,12,2007,1,22,2012,"Feb,May,Aug,Nov"
835,"d","a",190,9,2012,1,40,2012,"Feb,May,Aug,Nov"
836,"a","a",1160,12,2012,0,NA,NA,""
837,"a","a",2720,9,2012,0,NA,NA,""
838,"a","a",250,NA,NA,0,NA,NA,""
839,"d","a",260,NA,NA,1,44,2010,"Feb,May,Aug,Nov"
840,"d","c",2190,9,2003,0,NA,NA,""
841,"a","a",9670,NA,NA,0,NA,NA,""
842,"d","c",6300,10,2013,0,NA,NA,""
843,"d","a",5760,7,2014,0,NA,NA,""
844,"d","a",1560,1,2014,1,10,2013,"Mar,Jun,Sept,Dec"
845,"d","a",10310,4,2003,1,37,2009,"Jan,Apr,Jul,Oct"
846,"d","c",2490,11,2012,1,31,2009,"Jan,Apr,Jul,Oct"
847,"d","c",650,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
848,"d","a",8220,4,2014,1,14,2011,"Jan,Apr,Jul,Oct"
849,"a","c",100,4,2015,0,NA,NA,""
850,"d","c",16970,NA,NA,1,5,2013,"Feb,May,Aug,Nov"
851,"c","a",3040,9,2002,1,13,2010,"Jan,Apr,Jul,Oct"
852,"a","c",3270,NA,NA,0,NA,NA,""
853,"c","c",1130,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct"
854,"a","a",12610,3,2013,1,14,2011,"Jan,Apr,Jul,Oct"
855,"a","a",1040,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct"
856,"d","c",1110,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct"
857,"d","a",490,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec"
